SG=Ia-3d'
 name=230.148
 nsym=24
 spinor=True
symmetries=
-GM5  2   2.000 2.000 0.000 0.000 0.000 -1.105 -1.105 -1.105 -1.105 -1.105 -1.105 -1.105 -1.105 2.000 0.000 0.000 0.000 -1.105 -1.105 -1.105 -1.105 -1.105 -1.105 -1.105 -1.105 -2.000 0.000 0.000 0.000 0.617 0.617 0.617 0.617 0.617 0.617 0.617 0.617 -2.000 0.000 0.000 0.000 0.617 0.617 0.617 0.617 0.617 0.617 0.617 0.617 -1.414 -1.414 0.000 0.000 0.000 1.414 1.414 0.000 -1.414 0.000 1.414 0.000 -1.414 -1.414 0.000 0.000 0.000 1.414 1.414 0.000 -1.414 0.000 1.414 0.000 1.414 1.414 0.000 0.000 0.000 -1.414 -1.414 0.000 1.414 0.000 -1.414 0.000 1.414 1.414 0.000 0.000 0.000 -1.414 -1.414 0.000 1.414 0.000 -1.414 0.000 0.000 0.000 0.000 0.000 0.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.000 0.000 0.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 -1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 -1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 -1.000 0.000 0.000 0.000 1.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 -1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 -1.000 -1.000 0.000 0.000 0.000 -1.000 0.000 0.000 0.000 0.000 0.000 0.000 -1.000 -1.000 0.000 0.000 0.000 -1.000 0.000
-GM6  2   2.000 2.000 0.000 0.000 0.000 -1.057 -1.057 -1.057 -1.057 -1.057 -1.057 -1.057 -1.057 2.000 0.000 0.000 0.000 -1.057 -1.057 -1.057 -1.057 -1.057 -1.057 -1.057 -1.057 -2.000 0.000 0.000 0.000 1.093 1.093 1.093 1.093 1.093 1.093 1.093 1.093 -2.000 0.000 0.000 0.000 1.093 1.093 1.093 1.093 1.093 1.093 1.093 1.093 -1.414 -1.414 0.000 0.000 -0.309 1.352 1.352 -0.309 -1.399 -0.309 1.352 -0.309 -1.414 -1.414 0.000 0.000 -0.309 1.352 1.352 -0.309 -1.399 -0.309 1.352 -0.309 1.414 1.414 0.000 0.000 -0.309 -1.399 -1.399 -0.309 1.352 -0.309 -1.399 -0.309 1.414 1.414 0.000 0.000 -0.309 -1.399 -1.399 -0.309 1.352 -0.309 -1.399 -0.309 0.000 0.000 0.000 0.000 0.000 -0.906 -0.906 -0.906 -0.906 0.906 0.906 0.906 0.906 0.000 0.000 0.000 0.000 -0.906 -0.906 -0.906 -0.906 0.906 0.906 0.906 0.906 -1.000 0.000 0.000 0.000 -0.047 -0.047 -0.047 -0.047 0.047 0.047 0.047 0.047 -1.000 0.000 0.000 0.000 -0.047 -0.047 -0.047 -0.047 0.047 0.047 0.047 0.047 1.000 1.000 0.000 0.000 -0.953 -0.094 -0.094 -0.953 0.953 0.953 0.094 0.953 1.000 1.000 0.000 0.000 -0.953 -0.094 -0.094 -0.953 0.953 0.953 0.094 0.953 0.000 0.000 0.000 0.000 -0.953 -0.953 -0.953 -0.953 0.094 0.953 0.953 0.953 0.000 0.000 0.000 0.000 -0.953 -0.953 -0.953 -0.953 0.094 0.953 0.953 0.953
-GM7  2   2.000 2.000 0.000 0.000 0.000 -1.057 -1.057 -1.057 -1.057 -1.057 -1.057 -1.057 -1.057 2.000 0.000 0.000 0.000 -1.057 -1.057 -1.057 -1.057 -1.057 -1.057 -1.057 -1.057 -2.000 0.000 0.000 0.000 1.093 1.093 1.093 1.093 1.093 1.093 1.093 1.093 -2.000 0.000 0.000 0.000 1.093 1.093 1.093 1.093 1.093 1.093 1.093 1.093 -1.414 -1.414 0.000 0.000 -0.309 1.352 1.352 -0.309 -1.399 -0.309 1.352 -0.309 -1.414 -1.414 0.000 0.000 -0.309 1.352 1.352 -0.309 -1.399 -0.309 1.352 -0.309 1.414 1.414 0.000 0.000 -0.309 -1.399 -1.399 -0.309 1.352 -0.309 -1.399 -0.309 1.414 1.414 0.000 0.000 -0.309 -1.399 -1.399 -0.309 1.352 -0.309 -1.399 -0.309 0.000 0.000 0.000 0.000 0.000 0.906 0.906 0.906 0.906 -0.906 -0.906 -0.906 -0.906 0.000 0.000 0.000 0.000 0.906 0.906 0.906 0.906 -0.906 -0.906 -0.906 -0.906 -1.000 0.000 0.000 0.000 0.047 0.047 0.047 0.047 -0.047 -0.047 -0.047 -0.047 -1.000 0.000 0.000 0.000 0.047 0.047 0.047 0.047 -0.047 -0.047 -0.047 -0.047 1.000 1.000 0.000 0.000 0.953 0.094 0.094 0.953 -0.953 -0.953 -0.094 -0.953 1.000 1.000 0.000 0.000 0.953 0.094 0.094 0.953 -0.953 -0.953 -0.094 -0.953 0.000 0.000 0.000 0.000 0.953 0.953 0.953 0.953 -0.094 -0.953 -0.953 -0.953 0.000 0.000 0.000 0.000 0.953 0.953 0.953 0.953 -0.094 -0.953 -0.953 -0.953



kpoint  H : 0.500000 0.500000 0.500000 ; H  :  1.0 1.0 1.0 :  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24
-H10H7  4   4.000 4.000 0.000 0.000 0.000 -2.113 2.185 2.185 2.185 -2.113 2.185 2.185 2.185 0.000 0.000 0.000 0.000 0.036 0.036 0.036 0.036 0.036 0.036 0.036 0.036 -4.000 0.000 0.000 0.000 2.185 -2.113 -2.113 -2.113 2.185 -2.113 -2.113 -2.113 0.000 0.000 0.000 0.000 0.036 0.036 0.036 0.036 0.036 0.036 0.036 0.036 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.906 0.047 0.047 0.047 -0.906 -0.047 -0.047 -0.047 0.000 0.000 0.000 0.000 0.476 0.476 0.476 0.476 -0.476 -0.476 -0.476 -0.476 -1.000 0.000 0.000 0.000 0.047 0.906 0.906 0.906 -0.047 -0.906 -0.906 -0.906 0.000 0.000 0.000 0.000 0.476 0.476 0.476 0.476 -0.476 -0.476 -0.476 -0.476 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
-H5H8  4   4.000 4.000 0.000 0.000 0.000 -2.210 1.235 1.235 1.235 -2.210 1.235 1.235 1.235 0.000 0.000 0.000 0.000 -0.487 -0.487 -0.487 -0.487 -0.487 -0.487 -0.487 -0.487 -4.000 0.000 0.000 0.000 1.235 -2.210 -2.210 -2.210 1.235 -2.210 -2.210 -2.210 0.000 0.000 0.000 0.000 -0.487 -0.487 -0.487 -0.487 -0.487 -0.487 -0.487 -0.487 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 -1.000 0.000 0.000 0.000 0.000 1.000 1.000 1.000 0.000 1.000 1.000 1.000 0.000 0.000 0.000 0.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
-H6H9  4   4.000 4.000 0.000 0.000 0.000 -2.113 2.185 2.185 2.185 -2.113 2.185 2.185 2.185 0.000 0.000 0.000 0.000 0.036 0.036 0.036 0.036 0.036 0.036 0.036 0.036 -4.000 0.000 0.000 0.000 2.185 -2.113 -2.113 -2.113 2.185 -2.113 -2.113 -2.113 0.000 0.000 0.000 0.000 0.036 0.036 0.036 0.036 0.036 0.036 0.036 0.036 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 -0.906 -0.047 -0.047 -0.047 0.906 0.047 0.047 0.047 0.000 0.000 0.000 0.000 -0.476 -0.476 -0.476 -0.476 0.476 0.476 0.476 0.476 -1.000 0.000 0.000 0.000 -0.047 -0.906 -0.906 -0.906 0.047 0.906 0.906 0.906 0.000 0.000 0.000 0.000 -0.476 -0.476 -0.476 -0.476 0.476 0.476 0.476 0.476 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
