SG=P6/mc'c'
 name=192.250
 nsym=12
 spinor=False
symmetries=
    1 0 0   0 1 0   0 0 1   0 0 0
  0 -1 0   1 -1 0   0 0 1   0 0 0
  -1 1 0   -1 0 0   0 0 1   0 0 0
  -1 0 0   0 -1 0   0 0 1   0 0 0
   0 1 0   -1 1 0   0 0 1   0 0 0
   1 -1 0   1 0 0   0 0 1   0 0 0
 -1 0 0   0 -1 0   0 0 -1   0 0 0
  0 1 0   -1 1 0   0 0 -1   0 0 0
  1 -1 0   1 0 0   0 0 -1   0 0 0
   1 0 0   0 1 0   0 0 -1   0 0 0
 0 -1 0   1 -1 0   0 0 -1   0 0 0
 -1 1 0   -1 0 0   0 0 -1   0 0 0


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4 5 6 7 8 9 10 11 12
K1  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
K2  1    1.000 1.000 1.000 -1.000 -1.000 -1.000 1.000 1.000 1.000 -1.000 -1.000 -1.000
K3  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.667 -0.667 0.000 0.667 -0.667 0.000 -0.667 0.667 0.000 -0.667 0.667
K4  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 0.667 -0.667 -1.000 -0.333 0.333 0.000 -0.667 0.667 -1.000 0.333 -0.333
K5  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 -0.667 0.667 0.000 -0.667 0.667 0.000 0.667 -0.667 0.000 0.667 -0.667
K6  1    1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000 0.000 -0.667 0.667 -1.000 0.333 -0.333 0.000 0.667 -0.667 -1.000 -0.333 0.333



 kpoint  L : 0.500000 0.000000 0.500000  : 1 4 7 10
L1-L1+  2    2.000 2.000 0.000 0.000 0.000 0.000 0.000 0.000
L2-L2+  2    2.000 -2.000 0.000 0.000 0.000 0.000 0.000 0.000



 kpoint  M : 0.500000 0.000000 0.000000  : 1 4 7 10
M1+  1    1.000 1.000 1.000 1.000 -1.000 -1.000 -1.000 -1.000
M1-  1    1.000 1.000 -1.000 -1.000 -1.000 -1.000 1.000 1.000
M2+  1    1.000 -1.000 1.000 -1.000 -1.000 1.000 -1.000 1.000
M2-  1    1.000 -1.000 -1.000 1.000 -1.000 1.000 1.000 -1.000
